what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1459802413737
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1459802413737
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1459802413738
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1459802413738
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1459802413738
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1459802413739
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1459802413739
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1459802413739
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1459802413740
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1459802413740
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1459802413741
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1459802413741
started,bundle,com.altera.sbtgui.integration,12.1.1.243,"com.altera.sbtgui.integration",1459802413742
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1459802413743
started,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1459802413743
started,bundle,com.altera.systemconsole,12.1.1.243,"com.altera.systemconsole",1459802413743
started,bundle,com.altera.systemconsole.designs.plugin,12.1.1.243,"com.altera.systemconsole.designs.plugin",1459802413744
started,bundle,com.altera.systemconsole.scripting,12.1.1.243,"com.altera.systemconsole.scripting",1459802413744
started,bundle,com.altera.utilities,12.1.1.243,"com.altera.utilities",1459802413744
os,sysinfo,,,"linux",1459802413746
arch,sysinfo,,,"x86",1459802413746
ws,sysinfo,,,"gtk",1459802413746
locale,sysinfo,,,"en_US",1459802413746
processors,sysinfo,,,"8",1459802413746
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1459802413746
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1459802413746
java.specification.name,sysinfo,,,"Java Platform API Specification",1459802413746
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1459802413746
java.specification.version,sysinfo,,,"1.6",1459802413746
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1459802413746
java.version,sysinfo,,,"1.6.0_23",1459802413746
java.vm.info,sysinfo,,,"mixed mode",1459802413746
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1459802413746
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1459802413746
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1459802413746
java.vm.specification.version,sysinfo,,,"1.0",1459802413746
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1459802413746
java.vm.version,sysinfo,,,"19.0-b09",1459802413746
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1459802413798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459802416614
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1459802418570
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459802418647
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1459802418972
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1459802419026
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1459802419091
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1459802419092
stopped,bundle,com.altera.debug.cdi.gdb.plugin,12.1.1.243,"com.altera.debug.cdi.gdb.plugin",1459802419092
stopped,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1459802419097
stopped,bundle,com.altera.sbtgui.ui,12.1.1.243,"com.altera.sbtgui.ui",1459802419098
stopped,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1459802419098
