what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1460485205234
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1460485205243
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1460485205249
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1460485205250
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1460485205254
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1460485205255
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1460485205259
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1460485205261
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1460485205263
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1460485205264
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1460485205264
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1460485205264
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1460485205268
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1460485205269
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1460485205270
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1460485205270
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1460485205280
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1460485205286
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1460485205294
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1460485205298
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1460485205300
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1460485205303
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1460485205311
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1460485205314
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1460485205321
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1460485205321
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1460485205322
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1460485205326
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1460485205329
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1460485205337
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1460485205337
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1460485205341
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1460485205344
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1460485205345
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1460485205346
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1460485205355
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1460485205355
started,bundle,com.altera.sbtgui.integration,12.1.1.243,"com.altera.sbtgui.integration",1460485205356
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1460485205358
started,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1460485205358
started,bundle,com.altera.systemconsole,12.1.1.243,"com.altera.systemconsole",1460485205358
started,bundle,com.altera.systemconsole.designs.plugin,12.1.1.243,"com.altera.systemconsole.designs.plugin",1460485205359
started,bundle,com.altera.systemconsole.scripting,12.1.1.243,"com.altera.systemconsole.scripting",1460485205359
started,bundle,com.altera.utilities,12.1.1.243,"com.altera.utilities",1460485205359
os,sysinfo,,,"linux",1460485205361
arch,sysinfo,,,"x86",1460485205361
ws,sysinfo,,,"gtk",1460485205361
locale,sysinfo,,,"en_US",1460485205361
processors,sysinfo,,,"8",1460485205361
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1460485205361
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1460485205361
java.specification.name,sysinfo,,,"Java Platform API Specification",1460485205361
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1460485205361
java.specification.version,sysinfo,,,"1.6",1460485205361
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1460485205361
java.version,sysinfo,,,"1.6.0_23",1460485205361
java.vm.info,sysinfo,,,"mixed mode",1460485205361
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1460485205361
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1460485205361
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1460485205361
java.vm.specification.version,sysinfo,,,"1.0",1460485205361
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1460485205361
java.vm.version,sysinfo,,,"19.0-b09",1460485205361
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1460485208645
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460485216303
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460486628961
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1460486635418
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1460486635647
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1460486635669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460486643223
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460486673113
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460486674495
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460494014774
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460494018371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460494152566
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1460494155656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460494159519
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460494460695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460494461677
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460494693167
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460494693973
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460496536316
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460496537245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460496545253
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1460496547094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460496548851
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460496609942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460496611411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460496622973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460496626550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460496627862
